[2025-05-23 01:14:11] [INFO] No IPs currently blocked
[2025-05-23 01:14:19] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:19] [INFO] 
=== NETWORK SCAN ===
[2025-05-23 01:14:19] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-23 01:14:19] [INFO] IP Address: 192.168.1.9
[2025-05-23 01:14:19] [Level 21] ✅ Selected scans completed!
[2025-05-23 01:14:22] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:22] [INFO] 
=== PROCESS SCAN ===
[2025-05-23 01:14:22] [INFO] {'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
[2025-05-23 01:14:22] [INFO] {'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
[2025-05-23 01:14:22] [INFO] {'name': '', 'pid': 120, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'Registry', 'pid': 204, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'smss.exe', 'pid': 680, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'csrss.exe', 'pid': 1008, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'wininit.exe', 'pid': 1100, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'Video.UI.exe', 'pid': 1140, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:22] [INFO] {'name': 'services.exe', 'pid': 1172, 'username': None}
[2025-05-23 01:14:22] [INFO] {'name': 'LsaIso.exe', 'pid': 1192, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'lsass.exe', 'pid': 1204, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1316, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'fontdrvhost.exe', 'pid': 1340, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WUDFHost.exe', 'pid': 1412, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1428, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1504, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WUDFHost.exe', 'pid': 1572, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'IntelCpHDCPSvc.exe', 'pid': 1732, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1796, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1832, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1916, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1924, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1960, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 1980, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2004, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2012, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2056, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2108, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2156, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2308, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2328, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'NVIDIA Overlay.exe', 'pid': 2392, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2536, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2624, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2680, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 2716, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'NVDisplay.Container.exe', 'pid': 2936, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 3036, 'username': None}
