[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:08] [INFO] No IPs currently blocked
[2025-05-25 11:57:12] [INFO] 🔍 Running all security scans...
[2025-05-25 11:57:12] [INFO] 
=== NETWORK SCAN ===
[2025-05-25 11:57:12] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-25 11:57:12] [INFO] IP Address: 192.168.1.9
[2025-05-25 11:57:12] [INFO] 
=== PROCESS SCAN ===
[2025-05-25 11:57:12] [INFO] {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
[2025-05-25 11:57:13] [INFO] {'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
[2025-05-25 11:57:13] [INFO] {'pid': 120, 'username': None, 'name': ''}
[2025-05-25 11:57:13] [INFO] {'pid': 204, 'username': None, 'name': 'Registry'}
[2025-05-25 11:57:13] [INFO] {'pid': 360, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'cmd.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 680, 'username': None, 'name': 'smss.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1008, 'username': None, 'name': 'csrss.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1100, 'username': None, 'name': 'wininit.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1172, 'username': None, 'name': 'services.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1192, 'username': None, 'name': 'LsaIso.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1204, 'username': None, 'name': 'lsass.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1316, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1340, 'username': None, 'name': 'fontdrvhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1412, 'username': None, 'name': 'WUDFHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1428, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1504, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1572, 'username': None, 'name': 'WUDFHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1732, 'username': None, 'name': 'IntelCpHDCPSvc.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1796, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1832, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1908, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'nvcontainer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1916, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1924, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1960, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 1980, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2004, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2012, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2056, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2108, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2156, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2308, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2328, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2536, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2624, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2680, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2716, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 2936, 'username': None, 'name': 'NVDisplay.Container.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3036, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3044, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3064, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3176, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3192, 'username': None, 'name': 'MemCompression'}
[2025-05-25 11:57:13] [INFO] {'pid': 3216, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3276, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3296, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3328, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3340, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3460, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3476, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3828, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 3836, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4076, 'username': None, 'name': 'CTAudSvc.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4100, 'username': None, 'name': 'WmiPrvSE.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4168, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4260, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4360, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4400, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4464, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4556, 'username': None, 'name': 'wlanext.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4564, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4684, 'username': None, 'name': 'Intel_PIE_Service.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4820, 'username': None, 'name': 'spoolsv.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4896, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 4928, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5100, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5112, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5184, 'username': None, 'name': 'armsvc.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5192, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5204, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5216, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5248, 'username': None, 'name': 'Creative.VADMonitorService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5264, 'username': None, 'name': 'avp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5272, 'username': None, 'name': 'GCUBridge.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5284, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'NVIDIA Overlay.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5288, 'username': None, 'name': 'IntelAudioService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5296, 'username': None, 'name': 'HPPrintScanDoctorService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5304, 'username': None, 'name': 'OneApp.IGCC.WinService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5312, 'username': None, 'name': 'WMIRegistrationService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5320, 'username': None, 'name': 'jhi_service.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5328, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5336, 'username': None, 'name': 'ipf_uf.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5348, 'username': None, 'name': 'Service.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5356, 'username': None, 'name': 'kpm_service.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5364, 'username': None, 'name': 'PnkBstrA.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5380, 'username': None, 'name': 'RazerCentralService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5388, 'username': None, 'name': 'RzSDKService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5396, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5404, 'username': None, 'name': 'TFSPEQService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5412, 'username': None, 'name': 'RtkAudUService64.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5420, 'username': None, 'name': 'GameManagerService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5432, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5440, 'username': None, 'name': 'vmnetdhcp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5448, 'username': None, 'name': 'RzSDKServer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5456, 'username': None, 'name': 'vmware-usbarbitrator64.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5464, 'username': None, 'name': 'vmware-authd.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5472, 'username': None, 'name': 'vmnat.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5516, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5524, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 5808, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'SystrayComponent.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6072, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6404, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6604, 'username': None, 'name': 'RzAppManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 6648, 'username': None, 'name': 'RzBTLEManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 6684, 'username': None, 'name': 'RzChromaConnectManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 6712, 'username': None, 'name': 'RzChromaConnectServer'}
[2025-05-25 11:57:13] [INFO] {'pid': 6748, 'username': None, 'name': 'RzDeviceManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 6756, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6828, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6836, 'username': None, 'name': 'RzDiagnostic'}
[2025-05-25 11:57:13] [INFO] {'pid': 6848, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6892, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6904, 'username': None, 'name': 'RzIoTDeviceManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 6928, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6968, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 6988, 'username': None, 'name': 'RzSmartlightingDeviceManager'}
[2025-05-25 11:57:13] [INFO] {'pid': 7008, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7088, 'username': None, 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7136, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'nvcontainer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7144, 'username': None, 'name': 'SecurityHealthService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7352, 'username': None, 'name': 'dllhost.exe'}
